episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus,agentHasGold,reward,alpha,gamma,epsilon,epsilonDecay
189,111,false,false,false,-3230.0,0.1,0.99,0.14964140560361566,0.01
190,21,false,false,false,-2540.0,0.1,0.99,0.1481449915475795,0.01
191,33,false,false,false,-2092.0,0.1,0.99,0.1466635416321037,0.01
192,42,false,false,false,-3071.0,0.1,0.99,0.14519690621578268,0.01
193,135,false,false,false,-3264.0,0.1,0.99,0.14374493715362485,0.01
194,59,false,false,false,-2598.0,0.1,0.99,0.1423074877820886,0.01
195,18,false,true,false,-3527.0,0.1,0.99,0.1408844129042677,0.01
196,66,false,false,false,-3165.0,0.1,0.99,0.13947556877522502,0.01
197,58,false,false,false,-2597.0,0.1,0.99,0.13808081308747278,0.01
198,6,false,false,false,-2015.0,0.1,0.99,0.13670000495659804,0.01
199,40,false,false,false,-2559.0,0.1,0.99,0.13533300490703207,0.01
200,22,false,false,false,-2541.0,0.1,0.99,0.13397967485796175,0.01
201,8,false,false,false,-2007.0,0.1,0.99,0.13263987810938213,0.01
202,61,false,true,false,-3630.0,0.1,0.99,0.1313134793282883,0.01
203,54,false,false,false,-2113.0,0.1,0.99,0.13000034453500542,0.01
204,40,false,false,false,-2579.0,0.1,0.99,0.12870034108965536,0.01
205,10,false,false,false,-2529.0,0.1,0.99,0.12741333767875881,0.01
206,1,false,false,false,-2000.0,0.1,0.99,0.12613920430197123,0.01
207,233,false,false,false,-4462.0,0.1,0.99,0.12487781225895152,0.01
208,124,false,false,false,-2753.0,0.1,0.99,0.123629034136362,0.01
209,6,false,false,false,-2005.0,0.1,0.99,0.12239274379499838,0.01
210,16,false,false,false,-2065.0,0.1,0.99,0.1211688163570484,0.01
211,27,false,true,false,-2036.0,0.1,0.99,0.11995712819347792,0.01
212,40,false,false,false,-2079.0,0.1,0.99,0.11875755691154315,0.01
213,143,false,false,false,-3752.0,0.1,0.99,0.11756998134242772,0.01
214,40,false,true,false,-2559.0,0.1,0.99,0.11639428152900344,0.01
215,207,false,false,false,-4916.0,0.1,0.99,0.11523033871371341,0.01
216,62,false,false,false,-2601.0,0.1,0.99,0.11407803532657627,0.01
217,30,false,false,false,-2059.0,0.1,0.99,0.11293725497331052,0.01
218,69,false,false,false,-3158.0,0.1,0.99,0.1118078824235774,0.01
219,10,false,false,false,-2009.0,0.1,0.99,0.11068980359934164,0.01
220,65,false,false,false,-4104.0,0.1,0.99,0.10958290556334822,0.01
221,77,false,true,true,-4246.0,0.1,0.99,0.10848707650771475,0.01
222,123,false,false,false,-2252.0,0.1,0.99,0.1074022057426376,0.01
223,91,false,false,false,-3720.0,0.1,0.99,0.10632818368521123,0.01
224,16,false,false,false,-2015.0,0.1,0.99,0.10526490184835911,0.01
225,56,false,true,false,-2095.0,0.1,0.99,0.10421225282987552,0.01
226,40,false,false,false,-2059.0,0.1,0.99,0.10317013030157676,0.01
227,17,false,false,false,-2036.0,0.1,0.99,0.10213842899856099,0.01
228,70,false,false,false,-3149.0,0.1,0.99,0.10111704470857538,0.01
229,43,false,false,false,-3082.0,0.1,0.99,0.10010587426148963,0.01
230,3,false,false,false,-2002.0,0.1,0.99,0.09910481551887473,0.01
231,124,false,false,false,-2803.0,0.1,0.99,0.09811376736368599,0.01
232,17,false,false,false,-2016.0,0.1,0.99,0.09713262969004913,0.01
233,16,false,false,false,-2525.0,0.1,0.99,0.09616130339314863,0.01
234,84,false,true,true,-3713.0,0.1,0.99,0.09519969035921715,0.01
235,17,false,false,false,-2016.0,0.1,0.99,0.09424769345562498,0.01
236,2,false,false,false,-2001.0,0.1,0.99,0.09330521652106873,0.01
237,132,false,true,true,-5351.0,0.1,0.99,0.09237216435585804,0.01
238,78,false,true,false,-3617.0,0.1,0.99,0.09144844271229946,0.01
239,17,false,false,false,-2526.0,0.1,0.99,0.09053395828517646,0.01
240,15,false,false,false,-2524.0,0.1,0.99,0.08962861870232469,0.01
241,78,false,false,false,-2137.0,0.1,0.99,0.08873233251530144,0.01
242,149,false,false,false,-2758.0,0.1,0.99,0.08784500919014843,0.01
243,119,false,true,true,-4328.0,0.1,0.99,0.08696655909824694,0.01
244,10,false,false,false,-2009.0,0.1,0.99,0.08609689350726446,0.01
245,192,false,false,false,-3371.0,0.1,0.99,0.08523592457219181,0.01
246,99,false,false,false,-2168.0,0.1,0.99,0.0843835653264699,0.01
247,154,false,true,true,-4253.0,0.1,0.99,0.0835397296732052,0.01
248,189,false,true,true,-4298.0,0.1,0.99,0.08270433237647315,0.01
249,298,false,false,false,-4047.0,0.1,0.99,0.08187728905270841,0.01
250,22,false,false,false,-2061.0,0.1,0.99,0.08105851616218133,0.01
251,100,false,false,false,-3199.0,0.1,0.99,0.08024793100055952,0.01
252,91,false,false,false,-3160.0,0.1,0.99,0.07944545169055392,0.01
253,148,false,true,true,-4737.0,0.1,0.99,0.07865099717364837,0.01
254,25,false,false,false,-2054.0,0.1,0.99,0.07786448720191189,0.01
255,264,false,false,false,-3503.0,0.1,0.99,0.07708584232989277,0.01
256,61,false,false,false,-2090.0,0.1,0.99,0.07631498390659384,0.01
257,139,true,true,true,132.0,0.1,0.99,0.07555183406752791,0.01
258,37,false,true,false,-2046.0,0.1,0.99,0.07479631572685264,0.01
259,32,false,true,false,-2041.0,0.1,0.99,0.07404835256958411,0.01
260,12,false,false,false,-2511.0,0.1,0.99,0.07330786904388827,0.01
261,64,false,true,false,-2623.0,0.1,0.99,0.07257479035344938,0.01
262,324,false,false,false,-3653.0,0.1,0.99,0.07184904244991488,0.01
263,49,false,false,false,-2578.0,0.1,0.99,0.07113055202541574,0.01
264,144,true,true,true,677.0,0.1,0.99,0.07041924650516158,0.01
265,77,false,false,false,-2146.0,0.1,0.99,0.06971505404010997,0.01
266,102,false,false,false,-3191.0,0.1,0.99,0.06901790349970886,0.01
267,97,true,true,true,1774.0,0.1,0.99,0.06832772446471178,0.01
268,71,false,true,false,-2170.0,0.1,0.99,0.06764444722006466,0.01
269,138,true,true,true,1763.0,0.1,0.99,0.066968002747864,0.01
270,116,true,true,true,1845.0,0.1,0.99,0.06629832272038537,0.01
271,22,false,false,false,-2031.0,0.1,0.99,0.06563533949318151,0.01
272,110,false,false,false,-4699.0,0.1,0.99,0.06497898609824969,0.01
273,44,false,false,false,-2063.0,0.1,0.99,0.0643291962372672,0.01
274,78,false,false,false,-2167.0,0.1,0.99,0.06368590427489453,0.01
275,126,true,true,true,1815.0,0.1,0.99,0.06304904523214558,0.01
276,104,true,true,true,837.0,0.1,0.99,0.06241855477982412,0.01
277,81,true,true,true,1900.0,0.1,0.99,0.06179436923202588,0.01
278,53,false,true,false,-2112.0,0.1,0.99,0.06117642553970562,0.01
279,4,false,false,false,-2003.0,0.1,0.99,0.06056466128430856,0.01
280,123,true,true,true,1718.0,0.1,0.99,0.05995901467146548,0.01
281,101,false,false,false,-2190.0,0.1,0.99,0.05935942452475082,0.01
282,89,false,false,false,-2638.0,0.1,0.99,0.058765830279503314,0.01
283,331,false,false,false,-3600.0,0.1,0.99,0.05817817197670828,0.01
284,250,false,false,false,-3949.0,0.1,0.99,0.057596390256941195,0.01
285,73,true,true,true,1828.0,0.1,0.99,0.05702042635437178,0.01
286,36,false,false,false,-2585.0,0.1,0.99,0.05645022209082806,0.01
287,506,false,false,false,-5845.0,0.1,0.99,0.05588571986991978,0.01
288,24,false,true,false,-2553.0,0.1,0.99,0.055326862671220584,0.01
289,46,false,true,false,-3115.0,0.1,0.99,0.05477359404450838,0.01
290,405,false,false,false,-4244.0,0.1,0.99,0.054225858104063294,0.01
291,66,false,false,false,-2595.0,0.1,0.99,0.05368359952302266,0.01
292,91,false,false,false,-2660.0,0.1,0.99,0.053146763527792434,0.01
293,38,false,true,false,-2067.0,0.1,0.99,0.052615295892514506,0.01
294,88,false,false,false,-2677.0,0.1,0.99,0.052089142933589364,0.01
295,84,true,true,true,1847.0,0.1,0.99,0.05156825150425347,0.01
296,12,false,false,false,-2011.0,0.1,0.99,0.051052568989210935,0.01
297,149,false,false,false,-3728.0,0.1,0.99,0.05054204329931883,0.01
298,939,false,false,false,-4078.0,0.1,0.99,0.05003662286632564,0.01
