episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus,reward,alpha,gamma,epsilon,epsilonDecay
175,15,false,false,-3534.0,0.1,0.99,0.17224993019150142,0.01
176,56,false,true,-2125.0,0.1,0.99,0.1705274308895864,0.01
177,2,false,false,-2011.0,0.1,0.99,0.16882215658069055,0.01
178,24,false,false,-2553.0,0.1,0.99,0.16713393501488363,0.01
179,24,false,true,-3563.0,0.1,0.99,0.16546259566473479,0.01
180,77,false,false,-3136.0,0.1,0.99,0.16380796970808745,0.01
181,21,false,false,-2530.0,0.1,0.99,0.16216989001100657,0.01
182,10,false,false,-2509.0,0.1,0.99,0.1605481911108965,0.01
183,53,false,false,-4602.0,0.1,0.99,0.15894270919978754,0.01
184,21,false,false,-2060.0,0.1,0.99,0.15735328210778965,0.01
185,2,false,false,-2011.0,0.1,0.99,0.15577974928671176,0.01
186,59,false,false,-2618.0,0.1,0.99,0.15422195179384465,0.01
187,128,false,false,-3757.0,0.1,0.99,0.1526797322759062,0.01
188,115,false,false,-3244.0,0.1,0.99,0.15115293495314713,0.01
189,23,false,false,-2042.0,0.1,0.99,0.14964140560361566,0.01
190,1,false,false,-2000.0,0.1,0.99,0.1481449915475795,0.01
191,31,false,false,-2090.0,0.1,0.99,0.1466635416321037,0.01
192,4,false,false,-2013.0,0.1,0.99,0.14519690621578268,0.01
193,4,false,false,-2003.0,0.1,0.99,0.14374493715362485,0.01
194,6,false,false,-2015.0,0.1,0.99,0.1423074877820886,0.01
195,151,false,false,-4310.0,0.1,0.99,0.1408844129042677,0.01
196,61,false,true,-4680.0,0.1,0.99,0.13947556877522502,0.01
197,5,false,false,-2004.0,0.1,0.99,0.13808081308747278,0.01
198,239,false,false,-5998.0,0.1,0.99,0.13670000495659804,0.01
199,66,false,true,-2625.0,0.1,0.99,0.13533300490703207,0.01
200,24,false,false,-3023.0,0.1,0.99,0.13397967485796175,0.01
201,21,false,false,-2550.0,0.1,0.99,0.13263987810938213,0.01
202,53,false,true,-4102.0,0.1,0.99,0.1313134793282883,0.01
203,58,false,true,-2087.0,0.1,0.99,0.13000034453500542,0.01
204,14,false,false,-2033.0,0.1,0.99,0.12870034108965536,0.01
205,35,false,false,-2574.0,0.1,0.99,0.12741333767875881,0.01
206,56,false,false,-2065.0,0.1,0.99,0.12613920430197123,0.01
207,14,false,false,-2013.0,0.1,0.99,0.12487781225895152,0.01
208,18,false,false,-2527.0,0.1,0.99,0.123629034136362,0.01
209,33,false,false,-2072.0,0.1,0.99,0.12239274379499838,0.01
210,88,false,false,-2697.0,0.1,0.99,0.1211688163570484,0.01
211,81,false,true,-3200.0,0.1,0.99,0.11995712819347792,0.01
212,59,false,false,-2128.0,0.1,0.99,0.11875755691154315,0.01
213,22,false,false,-2051.0,0.1,0.99,0.11756998134242772,0.01
214,136,false,true,-5285.0,0.1,0.99,0.11639428152900344,0.01
215,125,false,false,-2244.0,0.1,0.99,0.11523033871371341,0.01
216,194,false,false,-5893.0,0.1,0.99,0.11407803532657627,0.01
217,137,false,false,-2826.0,0.1,0.99,0.11293725497331052,0.01
218,57,false,true,-3166.0,0.1,0.99,0.1118078824235774,0.01
219,120,false,true,-4769.0,0.1,0.99,0.11068980359934164,0.01
220,170,false,false,-3289.0,0.1,0.99,0.10958290556334822,0.01
221,94,false,true,-5213.0,0.1,0.99,0.10848707650771475,0.01
222,18,false,false,-2537.0,0.1,0.99,0.1074022057426376,0.01
223,36,false,false,-2575.0,0.1,0.99,0.10632818368521123,0.01
224,6,false,false,-2015.0,0.1,0.99,0.10526490184835911,0.01
225,73,false,false,-2662.0,0.1,0.99,0.10421225282987552,0.01
226,62,false,false,-2091.0,0.1,0.99,0.10317013030157676,0.01
227,155,false,false,-5334.0,0.1,0.99,0.10213842899856099,0.01
228,138,false,false,-3787.0,0.1,0.99,0.10111704470857538,0.01
229,147,false,true,-3876.0,0.1,0.99,0.10010587426148963,0.01
230,42,false,false,-2081.0,0.1,0.99,0.09910481551887473,0.01
231,51,false,false,-2640.0,0.1,0.99,0.09811376736368599,0.01
232,127,false,false,-2756.0,0.1,0.99,0.09713262969004913,0.01
233,29,false,true,-2038.0,0.1,0.99,0.09616130339314863,0.01
234,249,false,false,-2538.0,0.1,0.99,0.09519969035921715,0.01
235,13,false,true,-2032.0,0.1,0.99,0.09424769345562498,0.01
236,20,false,false,-2029.0,0.1,0.99,0.09330521652106873,0.01
237,32,false,false,-2551.0,0.1,0.99,0.09237216435585804,0.01
238,17,false,false,-2526.0,0.1,0.99,0.09144844271229946,0.01
239,41,false,false,-2080.0,0.1,0.99,0.09053395828517646,0.01
240,189,false,true,-4448.0,0.1,0.99,0.08962861870232469,0.01
241,162,false,true,-2771.0,0.1,0.99,0.08873233251530144,0.01
242,110,false,false,-3209.0,0.1,0.99,0.08784500919014843,0.01
243,77,false,false,-2126.0,0.1,0.99,0.08696655909824694,0.01
244,8,false,false,-2027.0,0.1,0.99,0.08609689350726446,0.01
245,404,false,false,-3303.0,0.1,0.99,0.08523592457219181,0.01
246,158,false,false,-2837.0,0.1,0.99,0.0843835653264699,0.01
247,124,true,true,297.0,0.1,0.99,0.0835397296732052,0.01
248,10,false,false,-2019.0,0.1,0.99,0.08270433237647315,0.01
249,88,false,true,-2677.0,0.1,0.99,0.08187728905270841,0.01
250,102,false,true,-2751.0,0.1,0.99,0.08105851616218133,0.01
251,128,true,true,1723.0,0.1,0.99,0.08024793100055952,0.01
252,38,false,false,-2067.0,0.1,0.99,0.07944545169055392,0.01
253,32,false,false,-2061.0,0.1,0.99,0.07865099717364837,0.01
254,65,false,false,-2074.0,0.1,0.99,0.07786448720191189,0.01
255,148,true,true,1703.0,0.1,0.99,0.07708584232989277,0.01
256,147,false,false,-4806.0,0.1,0.99,0.07631498390659384,0.01
257,27,false,false,-2566.0,0.1,0.99,0.07555183406752791,0.01
258,91,false,false,-2680.0,0.1,0.99,0.07479631572685264,0.01
259,88,false,false,-2657.0,0.1,0.99,0.07404835256958411,0.01
260,49,false,false,-2078.0,0.1,0.99,0.07330786904388827,0.01
261,119,true,true,772.0,0.1,0.99,0.07257479035344938,0.01
262,219,false,false,-2408.0,0.1,0.99,0.07184904244991488,0.01
263,18,false,true,-3027.0,0.1,0.99,0.07113055202541574,0.01
264,161,false,false,-2300.0,0.1,0.99,0.07041924650516158,0.01
265,103,true,true,1868.0,0.1,0.99,0.06971505404010997,0.01
266,278,false,false,-4577.0,0.1,0.99,0.06901790349970886,0.01
267,66,false,true,-3125.0,0.1,0.99,0.06832772446471178,0.01
268,32,false,false,-2051.0,0.1,0.99,0.06764444722006466,0.01
269,89,false,false,-2188.0,0.1,0.99,0.066968002747864,0.01
270,29,false,false,-2048.0,0.1,0.99,0.06629832272038537,0.01
271,74,true,true,1907.0,0.1,0.99,0.06563533949318151,0.01
272,47,false,true,-2056.0,0.1,0.99,0.06497898609824969,0.01
273,77,false,true,-2136.0,0.1,0.99,0.0643291962372672,0.01
274,47,false,false,-2076.0,0.1,0.99,0.06368590427489453,0.01
275,73,true,true,1908.0,0.1,0.99,0.06304904523214558,0.01
276,44,false,true,-2133.0,0.1,0.99,0.06241855477982412,0.01
277,100,true,true,291.0,0.1,0.99,0.06179436923202588,0.01
278,35,false,false,-2054.0,0.1,0.99,0.06117642553970562,0.01
279,28,false,false,-2057.0,0.1,0.99,0.06056466128430856,0.01
280,99,true,true,1322.0,0.1,0.99,0.05995901467146548,0.01
281,150,false,false,-2239.0,0.1,0.99,0.05935942452475082,0.01
282,45,false,true,-2104.0,0.1,0.99,0.058765830279503314,0.01
283,81,true,true,1840.0,0.1,0.99,0.05817817197670828,0.01
284,151,false,false,-2780.0,0.1,0.99,0.057596390256941195,0.01
285,72,true,true,1379.0,0.1,0.99,0.05702042635437178,0.01
286,11,false,false,-2510.0,0.1,0.99,0.05645022209082806,0.01
287,120,true,true,-259.0,0.1,0.99,0.05588571986991978,0.01
288,257,false,false,-3466.0,0.1,0.99,0.055326862671220584,0.01
289,54,true,true,1937.0,0.1,0.99,0.05477359404450838,0.01
290,71,true,true,1400.0,0.1,0.99,0.054225858104063294,0.01
291,91,true,true,820.0,0.1,0.99,0.05368359952302266,0.01
292,3,false,false,-2002.0,0.1,0.99,0.053146763527792434,0.01
293,238,false,false,-3437.0,0.1,0.99,0.052615295892514506,0.01
294,34,false,true,-2043.0,0.1,0.99,0.052089142933589364,0.01
295,66,true,true,1905.0,0.1,0.99,0.05156825150425347,0.01
296,65,false,false,-2634.0,0.1,0.99,0.051052568989210935,0.01
297,85,true,true,1806.0,0.1,0.99,0.05054204329931883,0.01
298,31,false,false,-2050.0,0.1,0.99,0.05003662286632564,0.01
299,10,false,false,-2009.0,0.1,0.99,0.04953625663766238,0.01
300,18,false,true,-2037.0,0.1,0.99,0.04904089407128576,0.01
301,64,true,true,1867.0,0.1,0.99,0.0485504851305729,0.01
302,12,false,false,-2021.0,0.1,0.99,0.048064980279267165,0.01
303,62,true,true,859.0,0.1,0.99,0.04758433047647449,0.01
304,231,false,false,-2900.0,0.1,0.99,0.04710848717170975,0.01
305,82,true,true,1829.0,0.1,0.99,0.04663740229999265,0.01
306,60,true,true,1891.0,0.1,0.99,0.04617102827699272,0.01
307,86,true,true,1835.0,0.1,0.99,0.045709317994222794,0.01
308,52,true,true,1929.0,0.1,0.99,0.04525222481428057,0.01
309,54,true,true,1907.0,0.1,0.99,0.04479970256613776,0.01
310,71,true,true,890.0,0.1,0.99,0.04435170554047638,0.01
311,72,true,true,1909.0,0.1,0.99,0.043908188485071616,0.01
312,73,true,true,1378.0,0.1,0.99,0.0434691066002209,0.01
313,55,true,true,1406.0,0.1,0.99,0.04303441553421869,0.01
314,51,true,true,1900.0,0.1,0.99,0.0426040713788765,0.01
315,2,false,false,-2001.0,0.1,0.99,0.04217803066508773,0.01
316,15,false,false,-2044.0,0.1,0.99,0.04175625035843686,0.01
317,905,false,false,-6074.0,0.1,0.99,0.041338687854852486,0.01
318,72,true,true,1849.0,0.1,0.99,0.04092530097630396,0.01
319,282,false,false,-2501.0,0.1,0.99,0.040516047966540916,0.01
320,52,false,true,-3101.0,0.1,0.99,0.04011088748687551,0.01
321,51,true,true,900.0,0.1,0.99,0.03970977861200675,0.01
322,54,true,true,1927.0,0.1,0.99,0.03931268082588668,0.01
323,120,false,false,-2179.0,0.1,0.99,0.03891955401762781,0.01
324,36,true,true,1945.0,0.1,0.99,0.03853035847745153,0.01
325,20,false,true,-3029.0,0.1,0.99,0.03814505489267701,0.01
326,34,true,true,1927.0,0.1,0.99,0.03776360434375024,0.01
327,245,false,false,-3414.0,0.1,0.99,0.03738596830031274,0.01
328,40,true,true,1941.0,0.1,0.99,0.03701210861730961,0.01
329,42,true,true,1949.0,0.1,0.99,0.03664198753113651,0.01
330,26,true,true,1965.0,0.1,0.99,0.036275567655825146,0.01
331,57,true,true,1924.0,0.1,0.99,0.03591281197926689,0.01
332,34,true,true,1957.0,0.1,0.99,0.035553683859474224,0.01
333,72,false,false,-2631.0,0.1,0.99,0.03519814702087948,0.01
334,33,true,true,1948.0,0.1,0.99,0.03484616555067068,0.01
335,6,false,false,-2005.0,0.1,0.99,0.034497703895163975,0.01
336,53,true,true,908.0,0.1,0.99,0.03415272685621234,0.01
337,28,true,true,1953.0,0.1,0.99,0.03381119958765021,0.01
338,46,true,true,1435.0,0.1,0.99,0.03347308759177371,0.01
339,52,true,true,1869.0,0.1,0.99,0.03313835671585597,0.01
340,34,true,true,1937.0,0.1,0.99,0.03280697314869741,0.01
341,45,true,true,1896.0,0.1,0.99,0.032478903417210436,0.01
342,27,true,true,1954.0,0.1,0.99,0.032154114383038335,0.01
343,104,false,false,-2173.0,0.1,0.99,0.03183257323920795,0.01
344,19,false,true,-2028.0,0.1,0.99,0.03151424750681587,0.01
345,26,true,true,1955.0,0.1,0.99,0.03119910503174771,0.01
346,23,false,true,-2532.0,0.1,0.99,0.030887113981430233,0.01
347,33,true,true,1958.0,0.1,0.99,0.03057824284161593,0.01
348,26,true,true,1945.0,0.1,0.99,0.03027246041319977,0.01
349,31,true,true,1950.0,0.1,0.99,0.029969735809067772,0.01
350,28,true,true,1963.0,0.1,0.99,0.029670038450977095,0.01
351,40,true,true,1951.0,0.1,0.99,0.029373338066467324,0.01
352,27,true,true,1464.0,0.1,0.99,0.02907960468580265,0.01
353,21,true,true,1970.0,0.1,0.99,0.028788808638944622,0.01
354,33,false,true,-2042.0,0.1,0.99,0.028500920552555174,0.01
355,25,true,true,1956.0,0.1,0.99,0.028215911347029624,0.01
356,24,true,true,1967.0,0.1,0.99,0.027933752233559327,0.01
357,27,true,true,1964.0,0.1,0.99,0.027654414711223735,0.01
358,23,true,true,1968.0,0.1,0.99,0.027377870564111496,0.01
359,27,true,true,1954.0,0.1,0.99,0.027104091858470382,0.01
360,21,true,true,1970.0,0.1,0.99,0.026833050939885677,0.01
361,312,false,false,-3511.0,0.1,0.99,0.02656472043048682,0.01
362,25,true,true,1966.0,0.1,0.99,0.02629907322618195,0.01
363,24,true,true,1967.0,0.1,0.99,0.026036082493920133,0.01
364,26,true,true,1955.0,0.1,0.99,0.02577572166898093,0.01
365,21,true,true,1970.0,0.1,0.99,0.025517964452291122,0.01
