episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus
1580,20,true,true
1581,21,true,true
1582,20,true,true
1583,20,true,true
1584,20,true,true
1585,20,true,true
1586,20,true,true
1587,20,true,true
1588,20,true,true
1589,20,true,true
1590,20,true,true
1591,20,true,true
1592,20,true,true
1593,20,true,true
1594,20,true,true
1595,20,true,true
1596,20,true,true
1597,20,true,true
1598,20,true,true
1599,20,true,true
1600,20,true,true
1601,20,true,true
1602,22,true,true
1603,20,true,true
1604,20,true,true
1605,20,true,true
1606,20,true,true
1607,20,true,true
1608,20,true,true
1609,20,true,true
1610,20,true,true
1611,22,true,true
1612,20,true,true
1613,21,true,true
1614,20,true,true
1615,20,true,true
1616,20,true,true
1617,20,true,true
1618,20,true,true
1619,20,true,true
1620,20,true,true
1621,20,true,true
1622,20,true,true
1623,20,true,true
1624,20,true,true
1625,21,true,true
1626,20,true,true
1627,20,true,true
1628,20,true,true
1629,20,true,true
1630,20,true,true
1631,20,true,true
1632,20,true,true
1633,20,true,true
1634,20,true,true
1635,20,true,true
1636,20,true,true
1637,20,true,true
1638,20,true,true
1639,20,true,true
1640,20,true,true
1641,20,true,true
1642,23,true,true
1643,20,true,true
1644,20,true,true
1645,20,true,true
1646,20,true,true
1647,20,true,true
1648,20,true,true
1649,20,true,true
1650,20,true,true
1651,20,true,true
